"sistema","codigo_reservatorio","reservatorio","res_latitude","res_longitude","municipio","codigo_municipio_ibge","estado_nome","estado_sigla","rio","sub_bacia","bacia"
"nordeste_semiarido",12351,"POLEIROS",-6.731608,-36.088603,"BARRA DE SANTA ROSA",2501609,"Paraíba","PB","RIACHO PELEIRO","CURIMATAÚ","CURIMATAÚ"
"nordeste_semiarido",12352,"POMPEU SOBRINHO",-4.838346,-39.140957,"CHORÓ",2303931,"Ceará","CE","RIO CHORÓ","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12353,"PONCIANO",-9.871119,-36.81813,"GIRAU DO PONCIANO",2702900,"Alagoas","AL","RIACHO DO BOI","S.FCO./TRAIPU","S.FCO./TRAIPU"
"nordeste_semiarido",12354,"PONTO NOVO",-10.853655,-40.171783,"PONTO NOVO/FILADÉLFIA",NA,"Bahia","BA","RIO ITAPICURU","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12355,"POTIRETAMA",-5.722597,-38.168457,"POTIRETAMA",2311231,"Ceará","CE","RIACHO DO LOGRADOURO","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12356,"PRATA",-8.531379,-35.83426,"BONITO",2602308,"Pernambuco","PE","RIO DA PRATA","UNA","UNA"
"nordeste_semiarido",12357,"PRATA II",-7.69295,-37.088616,"PRATA",2512200,"Paraíba","PB","RIACHO DA PRATA","ALTO PARAÍBA","ALTO PARAÍBA"
"nordeste_semiarido",12358,"PRAZERES",-7.10883,-38.683815,"BARRO",2302008,"Ceará","CE","RIO DAS CUNCAS","SALGADO","SALGADO"
"nordeste_semiarido",12359,"PREMUOCA",-3.319982,-40.554523,"URUOCA",2313906,"Ceará","CE","RIACHO SÃO FRANCISCO","COREAÚ","COREAÚ"
"nordeste_semiarido",12360,"QUANDÚ",-3.573506,-39.629011,"ITAPIPOCA",2306405,"Ceará","CE","RIACHO QUANDÚ","LITORAL","LITORAL"
"nordeste_semiarido",12361,"QUEIMADAS",-7.392011,-37.969296,"SANTANA GARROTES",2513604,"Paraíba","PB","RIACHO AROEIRA","PIANCÓ","PIANCÓ"
"nordeste_semiarido",12362,"QUICÉ",-10.488669,-40.010197,"S. DO BONFIM",2930105,"Bahia","BA","RIO ITAPICURU MIRIM","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12363,"QUINCOÉ",-6.08486,-39.454035,"ACOPIARA",2300309,"Ceará","CE","RIO QUINQUÊ","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12364,"QUIXABINHA",-7.501755,-38.747737,"MAURITI",2308104,"Ceará","CE","RIACHO DOS BOIS","SALGADO","SALGADO"
"nordeste_semiarido",12365,"QUIXERAMOBIM",-5.198465,-39.313228,"QUIXERAMOBIM",2311405,"Ceará","CE","RIO QUIXERAMOBIM","BANABUIÚ","BANABUIÚ"
"nordeste_semiarido",12366,"RANCHARIA",-7.713798,-40.590189,"ARARIPINA",2601102,"Pernambuco","PE","RIACHO BOM JARDIM","BRÍGIDA","BRÍGIDA"
"nordeste_semiarido",12367,"REALEJO",-5.261115,-40.806231,"CRATEÚS",2304103,"Ceará","CE","RIACHO CARRAPATEIRAS","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12368,"RETIRO",-9.670002,-37.314205,"PALESTINA",2706208,"Alagoas","AL","RIACHO VARZINHA","SÃO FRANCISCO","SÃO FRANCISCO"
"nordeste_semiarido",12369,"RIACHÃO",-4.000571,-38.523511,"ITAITINGA",2306256,"Ceará","CE","RIO RIACHÃO","METROPOLITANA","METROPOLITANA"
"nordeste_semiarido",12370,"RIACHO DA CRUZ II",-5.937318,-37.94029,"RIACHO DA CRUZ",2410702,"Rio Grande do Norte","RN","RIACHO DA CRUZ","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12371,"RIACHO DA SERRA",-5.564053,-38.323864,"ALTO SANTO",2300705,"Ceará","CE","SEM RIO - RIACHO DA SERRA","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12372,"RIACHO DAS MOÇAS",-7.238488,-37.310982,"TEIXEIRA",2516706,"Paraíba","PB","RIACHO DAS MOÇAS","ESPINHARAS","ESPINHARAS"
"nordeste_semiarido",12373,"RIACHO DO BODE",-9.37113,-37.222584,"SANTANA DO IPANEMA",2708006,"Alagoas","AL","RIACHO DO BODE","S.FCO./IPANEMA","S.FCO./IPANEMA"
"nordeste_semiarido",12374,"RIACHO DO PAULO",-13.758641,-41.8039,"LIVRAMENTO",2919504,"Bahia","BA","RIACHO DO PAULO","RIO DE CONTAS","RIO DE CONTAS"
"nordeste_semiarido",12375,"RIACHO DO SANGUE",-5.693539,-38.951037,"SOLONÓPOLE",2313005,"Ceará","CE","RIACHO DO SANGUE","MÉDIO JAGUARIBE","MÉDIO JAGUARIBE"
"nordeste_semiarido",12376,"RIACHO DOS CAVALOS",-6.431651,-37.650944,"RIACHO CAVALOS",2512804,"Paraíba","PB","RIACHO GRANDE","MÉDIO PIRANHAS","MÉDIO PIRANHAS"
"nordeste_semiarido",12377,"RIACHO SANTO ANTÔNIO",-7.701113,-36.162365,"BOQUEIRÃO (R. STO. ANT.)",2502508,"Paraíba","PB","RIACHO DE SANTO ANTÔNIO","MÉDIO PARAÍBA","MÉDIO PARAÍBA"
"nordeste_semiarido",12378,"RIBEIRÓPOLIS",-10.522338,-37.43812,"RIBEIRÓPOLIS",2806008,"Sergipe","SE","RIACHO COQUEIRO","SERGIPE","SERGIPE"
"nordeste_semiarido",12379,"RIO DA PEDRA",-5.975776,-36.70444,"SANTANA DO MATOS",2411403,"Rio Grande do Norte","RN","RIO DA PEDRA","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12380,"RIVALDO DE CARVALHO",-6.272246,-39.933425,"CATARINA",2303600,"Ceará","CE","RIO RIVALDO DE CARVALHO","ALTO JAGUARIBE","ALTO JAGUARIBE"
"nordeste_semiarido",12381,"RODEADOR",-6.052888,-37.778889,"UMARIZAL",2414506,"Rio Grande do Norte","RN","RIO UMARI","APODI/MOSSORÓ","APODI/MOSSORÓ"
"nordeste_semiarido",12382,"RÔMULO CAMPOS (JACURICI)",-10.654277,-39.726421,"ITIÚBA",2917003,"Bahia","BA","RIO JACURICI","ITAPICURU","ITAPICURU"
"nordeste_semiarido",12383,"ROSÁRIO",-7.775438,-37.472214,"IGUARACI/INAGAZEIRA",NA,"Pernambuco","PE","RIACHO ROSÁRIO","PAJEÚ","PAJEÚ"
"nordeste_semiarido",12384,"ROSÁRIO",-6.88845,-39.08067,"LAVRAS DA MANGABEIRA",2307502,"Ceará","CE","RIACHO DO CEDRO","SALGADO","SALGADO"
"nordeste_semiarido",12385,"SABONETE",-7.259495,-37.28973,"TEIXEIRA",2516706,"Paraíba","PB","SEM RIO - SABONETE","ESPINHARAS","ESPINHARAS"
"nordeste_semiarido",12386,"SABUGI",-6.646163,-37.198348,"SÃO JOÃO DO SABUGI",2412104,"Rio Grande do Norte","RN","RIO SABUGI","PIRANHAS/ASSU","PIRANHAS/ASSU"
"nordeste_semiarido",12387,"SACO",-7.513812,-38.046388,"NOVA OLINDA",2510204,"Paraíba","PB","RIACHO GRAVATÁ","CURU","CURU"
"nordeste_semiarido",12388,"SACO II",-8.543866,-40.168447,"STA. MARIA DA BOA VISTA",2612604,"Pernambuco","PE","RIO DAS GARÇAS","GARÇAS","GARÇAS"
"nordeste_semiarido",12389,"SALÃO",-4.406649,-39.311793,"CANINDÉ",2302800,"Ceará","CE","RIACHO SALÃO","CURU","CURU"
"nordeste_semiarido",12390,"SALGUEIRO",-8.0296,-39.06086,"SALGUEIRO",2612208,"Pernambuco","PE","RIACHO PITOMBEIRA","TERRA NOVA","TERRA NOVA"
"nordeste_semiarido",12391,"SALINAS",-6.998214,-42.517105,"S. FCO. DO PIAUÍ",2209708,"Piauí","PI","RIO SALINAS","CANINDÉ","CANINDÉ"
"nordeste_semiarido",12392,"SANTA CRUZ DO APODI",-5.764907,-37.799541,"APODI",2401008,"Rio Grande do Norte","RN","RIO APODI","APODI/MOSSORÓ","APODI/MOSSORÓ"
